Time,Action,Detail,Horizon,Timescale
125,Recollecting,Meeting with another group,Last week,2
150,Recollecting,Sharing knowledge from that meeting,Last week,2
276,Reflecting,On reception,Last week,2
280,Planning,Call to add more details,Now,1
295,Reflecting,On reception,Last week,2
304,Recollecting,Events that happened,Last week,2
347,Recollecting,Intention stated by other team,Last week,2
364,Reflecting,On how the conversation went,Last week,2
392,Recollecting,A prediction made,Last week,2
409,Recollecting,Conversation point,Last week,2
461,Recollecting,Organizational changes,Recent past,4
509,Recollecting,Conversation with External member,Today,1
518,Planning,For upcoming meetings,This week,2
529,Planning,For upcoming meetings,This week,2
538,Recollecting,Question to verify information,Recent past,4
555,Recollecting,More information in answer,Recent past,4
585,Planning,To have more meetings,Near future,4
594,Recollecting,Information about upcoming meetings,Recent past,4
601,Recollecting,Conversation with external member,Today,1
604,Planning,For upcoming meetings,This week,2
612,Intention,Rekindle collaboration,Near future,4
671,Recollecting,Prior event - acquisition,Distant past,5
751,Recollecting,Act done to reach out,Last few days,2
758,Planning,To exchange information,Near future,4
773,Planning,Meetings for deep dives,Near future,4
822,Recollecting,Other conversations that Team member is part of,Recent past,4
832,Intention,That these interactions will help with the team,Near future,4
865,Recollecting,Prior details of a different team,Recent and distant past,5
873,Recollecting,Previous org structure,Distant past,5
899,Recollecting,Event,Distant past,5
916,Recollecting,Conversation with External member,Today,1
971,Recollecting,About one collaborator,2 decades,5
978,Recollecting,Detail about different person,Recent past,4
1010,Recollecting,Task done - sending email,Last few days,2
1018,Recollecting,Conversation with someone during the week of the visit,Last few weeks,3
1061,Recollecting,Mention of something earlier this meeting,Now,1
1127,Planning,For a future meeting,This/Next week,2
1154,Recollecting,Conversation with External member,Last week,2
1210,Recollecting,Detail spoken during meeting,Last week,2
1236,Reflecting,On the discussion,Last week,2
1269,Recollecting,That processes exist,Recent and distant past,5
1281,Planning,Questions about how to go about making a plan,Near future,4
1327,Planning,Sharing that more details will emerge,Next week,2
1338,Planning,Task to ask about forwarding emails,Near future,4
1352,Recollecting,General class of events,Recent past,4
1365,Recollecting,Specific conversation and meeting,Recent past,4
1370,Planning,Reach out to person again,Near future,4
1391,Planning,Sharing information about timelines,Next few months,4
1401,Recollecting,Asking about certain details,Recent past,4
1425,Planning,Suggested conversations,Next few weeks,3
1432,Recollecting,People involved in key activities,Distant past,5
1444,Recollecting,A meeting and a conversation in the past,Recent past,4
1465,Recollecting,Checking with other admin person,Recent past,4
1491,Reflecting,On outcome of discussion,Recent past,4
1496,Recollecting,On roadblocks to other processes,Recent past,4
1524,Recollecting,Interesting things from the conversation,This meeting,1
1544,Simulation,Possible things to be done,Near future,4
1568,Simulation,Of possible intention,Near future,4
1613,Reflecting,On previous conversation,Recent past,4
1632,Planning,Task to be done,Next few days,2
1645,Recollecting,Meeting with university,Recent past,4
1687,Simulation,Of what might need to be done,Near future,4
1715,Recollecting,Specific detail from conversation,Recent past,4
1738,Planning,Question to be asked,Next week,2
1764,Recollecting,Other conversation ,Recent past,4
1787,Intention,To follow up on opportunities,Near future,4
1861,Intention,For how the tool should be used,Near future,4
1877,Intention,For how the tool should be used,Near future,4
1907,Recollecting,Task done,Recent past,4
1918,Reflecting,On the outcome of the task,Recent past,4
1922,Intention,Encouraging team to do something ,Near future,4
1944,Planning,Task to share ideas,Near future,4
1954,Planning,Task to add information,Near future,4
1983,Recollecting,Indicating the possibility of having forgotten some things,Recent past,4
1992,Planning,Question on long run maintenance,Near and distant future,5
2026,Planning,Specific task and deadline,Next month,4
2034,Recollecting,Intentions of vacation,Recent past,4
2041,Planning,Specific task and deadline,Next month,4
2046,Recollecting,A different meeting from today,Today,1
2058,Planning,Question about budget,Near future,4
2079,Reflecting,Comparing experiences across years,This year and previous ones,5
2097,Recollecting,Conversation,Recent past,4
2116,Recollecting,Information from conversations with leader,Last few weeks,3
2138,Recollecting,Ongoing task of hiring,Last few months,4
2161,Planning,To extend an offer,Near future,4
2177,Recollecting,Previous conversation,Last few weeks,3
2182,Recollecting,Previous conversation,Last few weeks,3
2189,Reflecting,On implications,Last few weeks,3
2194,Intention,To discuss with other leaders,Near and distant future,5
2224,Intention,To discuss with other leaders,Near and distant future,5
2226,Planning,To have further conversations,Near and distant future,5
2238,Planning,To continue servicing projects,Near future,4
2258,Simulation,Changes in intentions of the team,Near and distant future,5
2303,Recollecting,Previous conversation,Recent past,4
2333,Recollecting,Ongoing process,Recent past,4
2360,Planning,To have brainstorming but simple ideas,Near future,4
2379,Planning,Syncing with another team,Near future,4
